Well_permit_num	Operator	County	Municipality	Latitude	Longitude	Start_date	Prod_mcfe_model_na	Prod_period_max	Oil_bbl_model	Gas_mcf_model	Gas_mcf_model_cumsum	Oil_bbl_model_cumsum	Date_model	Production_date_model	Prod_mcfe	Prod_mcfe_model	Gas_mcf_model_na	Gas_mcf_model_zero	Oil_bbl_model_zero	Prod_mcfe_model_zero	Prod_period
015-20110	TALISMAN ENERGY USA INC	BRADFORD	ARMENIA	41.718122	-76.85557	2009-07-01	10588.58629	76	0	10588.58629	4170817.511	0	2016-12-01	2016-12-01	10588.58629	10588.58629	10588.58629	10588.58629	0	10588.58629	89
015-20110	TALISMAN ENERGY USA INC	BRADFORD	ARMENIA	41.718122	-76.85557	2009-07-01	7833.377156	76	0	7833.377156	4279148.335	0	2017-12-01	2017-12-01	7833.377156	7833.377156	7833.377156	7833.377156	0	7833.377156	101
015-20110	TALISMAN ENERGY USA INC	BRADFORD	ARMENIA	41.718122	-76.85557	2009-07-01	5795.088785	76	0	5795.088785	4359290.875	0	2018-12-01	2018-12-01	5795.088785	5795.088785	5795.088785	5795.088785	0	5795.088785	113
015-20110	TALISMAN ENERGY USA INC	BRADFORD	ARMENIA	41.718122	-76.85557	2009-07-01	4287.174402	76	0	4287.174402	4418579.879	0	2019-12-01	2019-12-01	4287.174402	4287.174402	4287.174402	4287.174402	0	4287.174402	125
015-20171	TALISMAN ENERGY USA INC	BRADFORD	ARMENIA	41.718244	-76.855586	2009-07-01	8543.43204	76	0	8543.43204	3291224.286	0	2016-12-01	2016-12-01	8543.43204	8543.43204	8543.43204	8543.43204	0	8543.43204	89
015-20171	TALISMAN ENERGY USA INC	BRADFORD	ARMENIA	41.718244	-76.855586	2009-07-01	6320.383433	76	0	6320.383433	3378631.33	0	2017-12-01	2017-12-01	6320.383433	6320.383433	6320.383433	6320.383433	0	6320.383433	101
015-20171	TALISMAN ENERGY USA INC	BRADFORD	ARMENIA	41.718244	-76.855586	2009-07-01	4675.784457	76	0	4675.784457	3443294.575	0	2018-12-01	2018-12-01	4675.784457	4675.784457	4675.784457	4675.784457	0	4675.784457	113
015-20171	TALISMAN ENERGY USA INC	BRADFORD	ARMENIA	41.718244	-76.855586	2009-07-01	3459.119296	76	0	3459.119296	3491132.083	0	2019-12-01	2019-12-01	3459.119296	3459.119296	3459.119296	3459.119296	0	3459.119296	125
015-20267	TALISMAN ENERGY USA INC	BRADFORD	ARMENIA	41.718244	-76.855243	2009-07-01	10086.02722	76	0	10086.02722	3562648.403	0	2016-12-01	2016-12-01	10086.02722	10086.02722	10086.02722	10086.02722	0	10086.02722	89
015-20267	TALISMAN ENERGY USA INC	BRADFORD	ARMENIA	41.718244	-76.855243	2009-07-01	7461.586755	76	0	7461.586755	3665837.593	0	2017-12-01	2017-12-01	7461.586755	7461.586755	7461.586755	7461.586755	0	7461.586755	101
015-20267	TALISMAN ENERGY USA INC	BRADFORD	ARMENIA	41.718244	-76.855243	2009-07-01	5520.040318	76	0	5520.040318	3742176.38	0	2018-12-01	2018-12-01	5520.040318	5520.040318	5520.040318	5520.040318	0	5520.040318	113
015-20267	TALISMAN ENERGY USA INC	BRADFORD	ARMENIA	41.718244	-76.855243	2009-07-01	4083.695078	76	0	4083.695078	3798651.39	0	2019-12-01	2019-12-01	4083.695078	4083.695078	4083.695078	4083.695078	0	4083.695078	125
027-21452	EXCO RESOURCES PA INC	CENTRE	BURNSIDE	41.091134	-77.969332	2009-07-01	1624.6957	76	0	1624.6957	378985.1945	0	2016-12-01	2016-12-01	1624.6957	1624.6957	1624.6957	1624.6957	0	1624.6957	89
027-21452	EXCO RESOURCES PA INC	CENTRE	BURNSIDE	41.091134	-77.969332	2009-07-01	1201.940829	76	0	1201.940829	395607.3024	0	2017-12-01	2017-12-01	1201.940829	1201.940829	1201.940829	1201.940829	0	1201.940829	101
